rank,name,matches,defence_points
111,Jawahar Dagar,46,56
112,Rajaguru Subramanian,46,54
113,Meraj Sheykh,99,54
114,Shankar Bhimraj Gadai,67,53
115,Amir Md. Zafardanesh,58,52
116,Sajin Chandrasekar,41,52
117,Kashiling Adake,92,51
118,Naveen Kundu,31,51
119,Aryan Satyawan Kumar,19,50
120,Rakesh Singh Kumar,49,49
121,Rohit Kumar,108,49
122,Shubham Kumar,39,48
123,Sourav Gulia,27,48
124,Sachin Tanwar,121,48
125,Rishank Devadiga,107,47
126,D. Gopu,34,47
127,Darshan J.,29,46
128,Sachin Khambe,22,46
129,Sagar Sethpal Rawal,28,46
130,Neeraj Narwal,84,44
131,Surinder Singh Dehal,25,43
132,Ashish N,38,42
133,Lokesh Jaisaram Ghosliya,24,42
134,Deepanshu Pardeep Khatri,19,42
135,Monu Goyat,97,41
136,Jadhav Balasaheb Shahaji,32,41
137,Vikas Jaglan,49,41
138,Ponparthiban Subramanian,35,40
139,Sunil Jaipal,36,38
140,Akash Choudhary,22,38
141,Nitin Tomar,86,38
142,Manjeet Sanjay Mitra Choudary,24,38
143,Mohammadreza Shadloui Chiyaneh,17,37
144,Mohit Randhir Rathee,14,36
145,Shyam Kumar Sah,27,36
146,Abhishek Ks,31,35
147,Vijin Thangadurai,59,35
148,Shrikant Jadhav,110,35
149,Milad Jabbari,13,33
150,D. Pradap,29,33
151,Vijay Malik,77,32
152,Ziaur Rahman,34,32
153,Jasvir Singh,73,32
154,Pankaj Deepak Mohite,80,32
155,Adarsh T,58,32
156,Bharat Hooda,44,31
157,Sachin Vittala,29,31
158,Vijay Kumar,37,30
159,Viraj Vishnu Landge,35,30
160,Preetam Chhillar,58,30
161,Ajinkya Ashok Pawar,78,30
162,Mahipal Narwal,32,30
163,Rohit Baliyan,65,29
164,Avi Duhan,20,29
165,Ashish Kumar Sangwan,23,29
166,Parmod Narwal,34,28
167,Mayur Shivtarkar,34,27
168,Krushna Madane,18,27
169,Wasim Sajjad,15,27
170,Chandran Ranjit,83,27
171,Gurpreet Singh,18,26
172,Balaji D,19,26
173,Young Chang Ko,41,26
174,Naveen Rawal,25,26
175,Vineet Sharma,43,26
176,Ankit Jai Bhagwan Dahiya,11,25
177,Ashu Malik,45,25
178,Kalimuthu Balamahendran,20,25
179,Narender Hoshiyar Kandola,44,25
180,Akshay Jadhav,28,25
181,Jang Kun Lee,85,25
182,Parteek Dahiya,54,24
183,Mohammadreza Kaboudrahangi,23,24
184,Arul Nandha Babu Velusamy,17,24
185,Hadi Tajik,23,24
186,Sahil Azad Narwal,14,24
187,Mahesh Goud,57,24
188,Manoj Dhull,26,24
189,Satyappa Matti,18,24
190,Amirhossein Bastami,16,23
191,Raju Lal Choudhary,22,23
192,Harsh Mahesh Lad,12,23
193,Gurvinder Singh,42,23
194,Surender Gill,55,23
195,Shabeer Bappu,58,23
196,Wazir Singh,44,22
197,Gangadhari Mallesh,36,22
198,Rahul Kumar,30,22
199,Dadaso Shivaji Pujari,17,22
200,Mohit Sehrawat,28,22
201,Kiran Laxman Magar,16,21
202,Aditya S Shinde,16,21
203,Swapnil Dilip Shinde,21,21
204,Navneet Gautam,28,21
205,Ajay Thakur,102,21
206,Sunny Sherawat,14,21
207,Manish Dhull,28,20
208,Ashish Randhir Bambal,17,20
209,Vikash Kandola,88,20
210,Vishwanath Vijaykumar,29,20
211,Mahendra Ganesh Rajput,67,20
212,Ronak Singh Chaudhary,28,20
213,Bittu Baldeva Banwala,11,20
214,Gokula Manoharan Kannan,13,19
215,Himanshu Virender Singh,58,19
216,Gaurav Hari Om Chillar,15,19
217,Sumit Malik,20,19
218,Rohit Mansingh Raghav,30,19
219,Nitin More,22,19
220,Rohit Surender Nandal,16,19
221,Shivam Anil Patare,43,19
222,Samarjeet Singh,22,19
223,Vijay Kumar Ajver Redhu,18,19
224,Hardeep Ranbir,15,19
225,Vijay Kumar Ajmer Redhu,14,19
226,Rohit Gulia,75,18
227,Ashish Kaptan Narwal,22,18
228,Rohit Tomar,18,17
229,Rahul Rakesh Kalirawna Ahri,11,17
230,Ayan Lohchab,47,17
231,Monu Hooda,14,17
232,Himanshu Jaglan,8,17
233,Dadaso Balaso Awad,12,17
234,Pavan Tr,26,17
235,Mohammad Esmaeil Maghsoudlou Mahalli,28,16
236,S Mahalingam,11,16
237,Balaji Dhanabal,19,16
238,Jaskirat Singh,14,16
239,Akshay Anil Rathee,15,16
240,Jitesh Joshi,19,16
241,Ankit Beniwal,29,16
242,Suresh Jadhav,10,16
243,Sukesh Hegde,91,16
244,Mohd Amaan,23,15
245,Muhammed Shihas S,14,15
246,Hamid Mirzaei Nader,18,15
247,Nilesh Salunke,74,15
248,Sanket Chavan,13,15
249,Rakesh Gowda,26,15
250,Deepak Kumar Rathee,20,15
251,Ram Kumar Sah,9,15
252,Prince D,23,15
253,Naveen Kumar,85,14
254,Babu Murugasan,11,14
255,Anuj Kaluram Gawade,13,14
256,Sagar Khatale,12,14
257,Siddhesh Tatkare,10,14
258,Amit Kharb,24,14
259,Surjeet Narwal,31,14
260,Arpit Saroha,8,14
261,Rupesh Tomar,15,14
262,Mukilan Shanmugam,9,14
263,Vijay Jaglan,22,14
264,Darshan J,9,14
265,Chetan Jaybir Sahu,18,13
266,Anurag Jai Kanwar,11,13
267,Rahul Rakesh Kalirawna,7,13
268,Arul Nantha Babu Velusamy,11,13
269,Maninder Singh,80,13
270,Deepak Narwal,77,13
271,Darpan Chauhan,9,13
272,Himmat Antil,8,12
273,Bhupender Singh,26,12
274,Jeeva Gopal,19,12
275,Deepak Dhull,9,12
276,Parveen Satpal,21,12
277,Abhishek Singh,74,12
278,Sumit Singh,33,12
279,N. Renjith,11,12
280,Milan Mahak Singh Dahiya,16,12
